"ID","Title","Value","Area","type1","type2","type3","type4","type5","type6","Director","Actor","Year"
27598254,"少年派",6.5," 中国大陆 ","剧情","爱情","家庭",NA,NA,NA," 刘惠宁 李少飞 "," 张嘉益 闫妮",2019
25800263,"灵魂摆渡",8.7," 中国大陆 ","剧情","惊悚","恐怖",NA,NA,NA," 巨兴茂 郭世民 "," 于毅 肖茵",2014
3023296,"封神榜",8.3," 中国香港 ","奇幻","古装",NA,NA,NA,NA," 刘仕裕 "," 陈浩民 温碧霞",2001
35231321,"变成你的那一天",7.6," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 王征 "," 张新成 梁洁",2021
26100709,"灵魂摆渡2",8.4," 中国大陆 ","剧情","惊悚","恐怖",NA,NA,NA," 巨兴茂 "," 于毅 刘智扬",2015
35524539,"时光代理人 第二季",7.8," 中国大陆 ","动画","悬疑",NA,NA,NA,NA," 李豪凌 "," 杨天翔 苏尚卿",2023
34463312,"少主且慢行 第一季",6.7," 中国大陆 ","爱情","悬疑","古装",NA,NA,NA," 周彤 代梦颖 "," 虞书欣 刘奕畅",2020
35725021,"一人之下 第五季",8.8," 中国大陆 ","剧情","动作","动画",NA,NA,NA," 陈烨 "," 曹云图 小连杀",2022
34972208,"少主且慢行 第二季",6.7," 中国大陆 ","爱情","悬疑","古装",NA,NA,NA," 周彤 "," 虞书欣 刘奕畅",2020
2138507,"奋斗",7.6," 中国大陆 ","喜剧","爱情",NA,NA,NA,NA," 赵宝刚 王迎 "," 马伊琍 佟大为",2007
35735782,"村里来了个暴走女外科",8.5," 中国台湾 ","剧情","喜剧",NA,NA,NA,NA," 赖孟杰 "," 蔡淑臻 朱轩洋",2022
2347485,"天道",9.2," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 张前 "," 王志文 左小青",2008
3696540,"喜羊羊与灰太狼",8.2," 中国大陆 ","喜剧","动画",NA,NA,NA,NA," 黄伟明 赵崇邦 "," 祖丽晴 张琳",2005
2154859,"大明宫词",9.1," 中国大陆 ","剧情","爱情","古装",NA,NA,NA," 李少红 曾念平 "," 陈红 归亚蕾",2000
27034748,"一人之下 第二季",8.9," 中国大陆 ","喜剧","动作","动画","奇幻",NA,NA," 陈烨 王昕 "," 曹云图 小连杀",2017
2274948,"恶作剧2吻",8.7," 中国台湾 ","喜剧","爱情",NA,NA,NA,NA," 瞿友宁 "," 郑元畅 林依晨",2007
7564975,"风中奇缘",7," 中国大陆 ","剧情","古装",NA,NA,NA,NA," 李国立 "," 刘诗诗 彭于晏",2014
35263440,"时光代理人",8.1," 中国大陆 ","动画",NA,NA,NA,NA,NA," 李豪凌 "," 杨天翔 苏尚卿",2021
35332288,"他从火光中走来",7.1," 中国大陆 ","剧情",NA,NA,NA,NA,NA," 天毅 易勇 "," 黄景瑜 张婧仪",2023
2157188,"倚天剑屠龙刀",8.6," 中国香港 ","武侠","古装",NA,NA,NA,NA," 庄伟建 "," 吴启华 黎姿",2001
27611494,"三千鸦杀",5.3," 中国大陆 ","爱情","奇幻","古装",NA,NA,NA," 回宇 "," 郑业成 赵露思",2020
3901388,"我爱我家",9.4," 中国大陆 ","喜剧","家庭",NA,NA,NA,NA," 英达 "," 文兴宇 宋丹丹",1993
26298756,"无心法师",8.4," 中国大陆 ","剧情","奇幻",NA,NA,NA,NA," 林玉芬 高林豹 "," 韩东君 金晨",2015
